ip,city,lat,lon,source,note
93.184.216.10,武汉,30.5928,114.3055,override,open-source synthetic demo address; not captured from a real host
93.184.216.11,香港,22.3964,114.109,override,open-source synthetic demo address; not captured from a real host
93.184.216.12,贵阳,26.6475,106.6301,override,open-source synthetic demo address; not captured from a real host
93.184.216.13,郑州,34.7472,113.625,override,open-source synthetic demo address; not captured from a real host
93.184.216.14,荃湾,22.3699,114.114,override,open-source synthetic demo address; not captured from a real host
93.184.216.15,郑州,34.7472,113.625,override,open-source synthetic demo address; not captured from a real host
93.184.216.16,广州,23.1317,113.266,override,open-source synthetic demo address; not captured from a real host
93.184.216.17,南京,32.0589,118.7738,override,open-source synthetic demo address; not captured from a real host
93.184.216.18,上海,31.2222,121.4581,override,open-source synthetic demo address; not captured from a real host
93.184.216.19,武汉,30.5454,114.342,override,open-source synthetic demo address; not captured from a real host
93.184.216.20,上海,31.2222,121.4581,override,open-source synthetic demo address; not captured from a real host
93.184.216.21,北京,39.9042,116.407,override,open-source synthetic demo address; not captured from a real host
93.184.216.22,杭州,30.2943,120.1663,override,open-source synthetic demo address; not captured from a real host
93.184.216.23,临汾,36.6934,110.94,override,open-source synthetic demo address; not captured from a real host
93.184.216.24,广州,23.1181,113.2539,override,open-source synthetic demo address; not captured from a real host
93.184.216.25,北京海淀,39.9794,116.338,override,open-source synthetic demo address; not captured from a real host
93.184.216.26,北京海淀,40.0045,116.329,override,open-source synthetic demo address; not captured from a real host
93.184.216.27,北京海淀,40.0045,116.329,override,open-source synthetic demo address; not captured from a real host
93.184.216.28,北京金融街,39.9072,116.357,override,open-source synthetic demo address; not captured from a real host
93.184.216.29,北京,39.9042,116.4073,override,open-source synthetic demo address; not captured from a real host
93.184.216.30,杭州,30.2943,120.1663,override,open-source synthetic demo address; not captured from a real host
93.184.216.31,北京,39.911,116.395,override,open-source synthetic demo address; not captured from a real host
93.184.216.32,北京海淀,40.0045,116.329,override,open-source synthetic demo address; not captured from a real host
93.184.216.33,北京,39.9042,116.407,override,open-source synthetic demo address; not captured from a real host
93.184.216.34,北京海淀,40.0045,116.329,override,open-source synthetic demo address; not captured from a real host
93.184.216.35,北京,39.9042,116.407,override,open-source synthetic demo address; not captured from a real host
93.184.216.36,上海,31.2304,121.474,override,open-source synthetic demo address; not captured from a real host
93.184.216.37,武汉,30.6155,114.255,override,open-source synthetic demo address; not captured from a real host
93.184.216.38,北京,39.911,116.395,override,open-source synthetic demo address; not captured from a real host
93.184.216.39,北京海淀,40.0045,116.329,override,open-source synthetic demo address; not captured from a real host
93.184.216.40,北京海淀,40.0045,116.329,override,open-source synthetic demo address; not captured from a real host
93.184.216.41,南京,32.0584,118.796,override,open-source synthetic demo address; not captured from a real host
93.184.216.42,南京,32.0584,118.796,override,open-source synthetic demo address; not captured from a real host
93.184.216.43,北京海淀,40.0045,116.329,override,open-source synthetic demo address; not captured from a real host
93.184.216.44,南京,32.0584,118.796,override,open-source synthetic demo address; not captured from a real host
93.184.216.45,北京海淀,40.0045,116.329,override,open-source synthetic demo address; not captured from a real host
